,Entity,Code,Year,Annual CO2 emissions (per capita),Solar Generation - TWh,Wind Generation - TWh,Hydro Generation - TWh,Geo Biomass Other - TWh
260,Austria,AUT,2001,8.6615,0.005,0.172,40.45548165,1.667812
261,Austria,AUT,2002,8.8443,0.009,0.203,40.22700281,1.520444
262,Austria,AUT,2003,9.4731,0.015,0.366,33.21499204,1.711921
263,Austria,AUT,2004,9.4523,0.018,0.924,36.762283,2.05973
264,Austria,AUT,2005,9.5797,0.021018375,1.331276757,37.09513834,2.437154339
265,Austria,AUT,2006,9.269,0.022386875,1.752792984,35.65608477,3.237502556
266,Austria,AUT,2007,8.9126,0.024238375,2.037184927,37.05445286,4.061606911
267,Austria,AUT,2008,8.808,0.03011991,2.011257409,38.32949104,4.302304141
268,Austria,AUT,2009,8.037,0.04891428,1.954040168,40.89630336,4.277982167
269,Austria,AUT,2010,8.5613,0.08881314,2.063913736,38.36341829,4.463430081
270,Austria,AUT,2011,8.2674,0.17406996,1.93623636,34.23908351,4.516752009
271,Austria,AUT,2012,7.9113,0.33748305,2.462029019,43.80410469,4.608036501
272,Austria,AUT,2013,7.9192,0.625974,3.153231562,42.0465273,4.584281709
273,Austria,AUT,2014,7.4474,0.785246,3.845768035,41.01025937,4.336296196
274,Austria,AUT,2015,7.6454,0.937098,4.840343102,37.05552838,4.503546527
275,Austria,AUT,2016,7.6841,1.096016,5.234838273,39.84471615,4.691227039
276,Austria,AUT,2017,7.8911,1.268971,6.571511136,38.293433,4.920933436
277,Austria,AUT,2018,7.4865,1.455132,6.030429449,37.637911,4.930195781
278,Austria,AUT,2019,7.5892,1.702093,7.477363299,40.455346,4.745310238
279,Austria,AUT,2020,6.7324,1.590574729,6.794140175,40.95375978,5.253975479
308,Azerbaijan,AZE,2013,3.752,0.0008,0.0008,1.4891,0.067
309,Azerbaijan,AZE,2014,3.8898,0.0029,0.0023,1.2997,0.087
310,Azerbaijan,AZE,2015,3.8439,0.0046,0.0046,1.6375,0.0909
311,Azerbaijan,AZE,2016,3.8059,0.0353,0.0228,1.9593,0.08725
312,Azerbaijan,AZE,2017,3.7307,0.0372,0.0221,1.7464,0.08515
313,Azerbaijan,AZE,2018,3.7034,0.03926,0.0827,1.768,0.0811
314,Azerbaijan,AZE,2019,3.8541,0.0442,0.1054,1.5648,0.09795
