,Unnamed: 0_x,Entity,Code,Year,Annual CO2 emissions (per capita),Renewable electricity per capita (kWh),Unnamed: 0_y,Renewables (% sub energy),Solar Generation - TWh,Wind Generation - TWh,Hydro Generation - TWh,Geo Biomass Other - TWh
58,367,Australia,AUS,2007,19.2159,1000.653,210,3.689,0.11375,2.8521,13.04895,4.275
59,368,Australia,AUS,2008,19.2034,866.761,211,3.437,0.1392,3.45845,11.81515,3.6961
60,369,Australia,AUS,2009,18.4508,841.806,212,3.653,0.29024203,4.43775,12.64205,2.7868
61,370,Australia,AUS,2010,18.2595,960.97,213,4.051,0.97764828,4.985,13.746,2.44155
62,371,Australia,AUS,2011,17.9849,1181.56,214,5.384,2.04454657,6.432,19.572,2.57395
63,372,Australia,AUS,2012,17.5806,1146.964,215,5.353,2.412,7.725,17.036,3.09785
64,373,Australia,AUS,2013,16.907,1407.875,216,6.174,3.8474,9.259,19.089,3.33165
65,374,Australia,AUS,2014,16.9201,1520.569,217,5.65,4.952,9.777,14.484,3.546362
66,375,Australia,AUS,2015,16.8507,1390.16,218,5.914,6.195524404,11.83300209,14.08659847,3.678061995
67,376,Australia,AUS,2016,17.1434,1520.44,219,6.778,7.439775697,13.03970488,17.6294521,3.627512928
68,377,Australia,AUS,2017,16.8704,1628.254,220,6.352,8.91755657,13.21079043,13.49974762,3.561683859
69,378,Australia,AUS,2018,16.7081,1781.257,221,7.883,12.33254445,16.26195432,17.33836109,3.58814896
70,379,Australia,AUS,2019,16.447,2038.63,222,8.491,18.2969867,19.47168808,14.1138688,3.467726188
71,380,Australia,AUS,2020,15.3684,2341.187,223,10.374,23.84266127,22.6068918,14.5346444,3.410424136
72,411,Austria,AUT,1995,8.0113,4869.768,254,30.104,0.001,0.001,37.067222,1.857221
73,412,Austria,AUT,1996,8.4007,4463.789,255,27.613,0.001,0.005,34.216111,1.589444
74,413,Austria,AUT,1997,8.3721,4708.154,256,28.597,0.002,0.02,36.105278,1.711389
75,414,Austria,AUT,1998,8.3182,4853.841,257,29.059,0.002,0.045,37.163333,1.842777
76,415,Austria,AUT,1999,8.1529,5260.14,258,30.845,0.002,0.051,40.6991208,1.596911819
77,416,Austria,AUT,2000,8.1964,5383.383,259,31.53,0.003,0.067,41.83565055,1.52827932
78,417,Austria,AUT,2001,8.6615,5216.261,260,29.432,0.005,0.172,40.45548165,1.667812
79,418,Austria,AUT,2002,8.8443,5150.962,261,28.954,0.009,0.203,40.22700281,1.520444
80,419,Austria,AUT,2003,9.4731,4310.253,262,23.897,0.015,0.366,33.21499204,1.711921
81,420,Austria,AUT,2004,9.4523,4821.823,263,26.296,0.018,0.924,36.762283,2.05973
82,421,Austria,AUT,2005,9.5797,4952.957,264,26.583,0.021018375,1.331276757,37.09513834,2.437154339
83,422,Austria,AUT,2006,9.269,4907.461,265,27.174,0.022386875,1.752792984,35.65608477,3.237502556
84,423,Austria,AUT,2007,8.9126,5192.614,266,29.45,0.024238375,2.037184927,37.05445286,4.061606911
85,424,Austria,AUT,2008,8.808,5338.352,267,29.866,0.03011991,2.011257409,38.32949104,4.302304141
86,425,Austria,AUT,2009,8.037,5635.009,268,32.71,0.04891428,1.954040168,40.89630336,4.277982167
87,426,Austria,AUT,2010,8.5613,5349.619,269,30.016,0.08881314,2.063913736,38.36341829,4.463430081
88,427,Austria,AUT,2011,8.2674,4839.415,270,29.106,0.17406996,1.93623636,34.23908351,4.516752009
89,428,Austria,AUT,2012,7.9113,6037.24,271,34.186,0.33748305,2.462029019,43.80410469,4.608036501
90,429,Austria,AUT,2013,7.9192,5902.159,272,33.523,0.625974,3.153231562,42.0465273,4.584281709
91,430,Austria,AUT,2014,7.4474,5826.907,273,34.823,0.785246,3.845768035,41.01025937,4.336296196
92,431,Austria,AUT,2015,7.6454,5483.561,274,33.145,0.937098,4.840343102,37.05552838,4.503546527
93,432,Austria,AUT,2016,7.6841,5839.512,275,33.814,1.096016,5.234838273,39.84471615,4.691227039
94,433,Austria,AUT,2017,7.8911,5788.046,276,32.744,1.268971,6.571511136,38.293433,4.920933436
95,434,Austria,AUT,2018,7.4865,5630.17,277,32.79,1.455132,6.030429449,37.637911,4.930195781
96,435,Austria,AUT,2019,7.5892,6101.546,278,33.779,1.702093,7.477363299,40.455346,4.745310238
97,436,Austria,AUT,2020,6.7324,6153.402,279,36.392,1.590574729,6.794140175,40.95375978,5.253975479
98,465,Azerbaijan,AZE,2013,3.752,156.625,308,2.601,0.0008,0.0008,1.4891,0.067
99,466,Azerbaijan,AZE,2014,3.8898,135.709,309,2.265,0.0029,0.0023,1.2997,0.087
100,467,Azerbaijan,AZE,2015,3.8439,168.351,310,2.571,0.0046,0.0046,1.6375,0.0909
101,468,Azerbaijan,AZE,2016,3.8059,205.422,311,3.125,0.0353,0.0228,1.9593,0.08725
102,469,Azerbaijan,AZE,2017,3.7307,181.812,312,2.845,0.0372,0.0221,1.7464,0.08515
103,470,Azerbaijan,AZE,2018,3.7034,187.948,313,2.866,0.03926,0.0827,1.768,0.0811
104,471,Azerbaijan,AZE,2019,3.8541,168.197,314,2.492,0.0442,0.1054,1.5648,0.09795
105,472,Azerbaijan,AZE,2020,3.7203,120.325,315,1.869,0.0472,0.0951,1.068,0.098218356
106,553,Bangladesh,BGD,2009,0.3368,3.221,354,0.481,0.0251,0.0051,0.417,0.001
107,554,Bangladesh,BGD,2010,0.3659,5.692,355,0.813,0.0443,0.0051,0.729,0.002
108,555,Bangladesh,BGD,2011,0.3789,6.632,356,0.894,0.0584,0.0051,0.872,0.003
109,556,Bangladesh,BGD,2012,0.4019,5.563,357,0.775,0.0909,0.0051,0.777,0.004
110,557,Bangladesh,BGD,2013,0.4044,7.201,358,0.74,0.129563,0.005081,0.728378728,0.004993
111,558,Bangladesh,BGD,2014,0.427,5.307,359,0.606,0.166947,0.005081,0.566453438,0.006015
112,559,Bangladesh,BGD,2015,0.469,5.376,360,0.769,0.198389,0.005081,0.898146455,0.002682
113,560,Bangladesh,BGD,2016,0.4841,8.102,361,0.757,0.219999,0.005081,0.884632595,0.002877
114,561,Bangladesh,BGD,2017,0.5069,8.391,362,0.841,0.253361,0.005081,1.029528088,0.002877
115,562,Bangladesh,BGD,2018,0.5118,8.737,363,0.701,0.275068,0.005081,0.865411112,0.002877
116,563,Bangladesh,BGD,2019,0.5778,7.544,364,0.642,0.349231785,0.005081,0.823091189,0.002877
117,564,Bangladesh,BGD,2020,0.5637,6.497,365,0.626,0.412784892,0.005081,0.700670737,0.003035367
118,614,Belarus,BLR,2013,6.7106,30.774,394,0.204,0.0004,0.008,0.138,0.082
119,615,Belarus,BLR,2014,6.6381,28.627,395,0.181,0.002,0.009,0.121,0.079
120,616,Belarus,BLR,2015,6.1484,29.663,396,0.238,0.009,0.039,0.111,0.094
121,617,Belarus,BLR,2016,6.3364,42.348,397,0.315,0.026,0.073,0.142,0.094
122,618,Belarus,BLR,2017,6.3613,78.305,398,0.639,0.089,0.097,0.406,0.106
123,619,Belarus,BLR,2018,6.4492,85.691,399,0.544,0.118,0.099,0.324,0.109
124,620,Belarus,BLR,2019,6.4558,98.388,400,0.682,0.179,0.166,0.351,0.11
125,621,Belarus,BLR,2020,6.0793,133.343,401,0.752,0.181743295,0.183883978,0.353340883,0.11206379
126,661,Belgium,BEL,2004,12.2881,143.128,441,0.532,0.001,0.142,0.317,1.037
127,662,Belgium,BEL,2005,11.9126,200.059,442,0.753,0.001,0.227,0.288,1.59
128,663,Belgium,BEL,2006,11.6657,278.733,443,1.046,0.002,0.366,0.359,2.225
129,664,Belgium,BEL,2007,11.2623,326.242,444,1.22,0.006,0.491,0.389,2.6
130,665,Belgium,BEL,2008,11.1498,410.066,445,1.512,0.042,0.637,0.41,3.329
131,666,Belgium,BEL,2009,9.9183,501.845,446,2.193,0.166,0.996,0.328,3.949
132,667,Belgium,BEL,2010,10.4714,597.875,447,2.745,0.56,1.292,0.312,4.330428
133,668,Belgium,BEL,2011,9.5358,754.504,448,3.601,1.169,2.312,0.196,4.699934
134,669,Belgium,BEL,2012,9.2361,947.196,449,4.512,2.148,2.751,0.357,5.202093
135,670,Belgium,BEL,2013,9.2032,1049.847,450,4.805,2.644,3.665,0.38,4.98362
136,671,Belgium,BEL,2014,8.6325,1088.116,451,5.498,2.8862,4.6153,0.2952,4.4732
137,672,Belgium,BEL,2015,8.9525,1280.128,452,5.976,3.0563,5.574,0.3184,5.5637
